role,kernel,grid,block,calls_per_step,time_us_per_step,rank_min_us,rank_max_us,mean_call_us,p50_call_us,p90_call_us,p99_call_us,launch_occupancy_pct
Elementwise and metadata,triton_red_fused_add_fused_add_rms_norm_rms_norm_2,4x1x1,1024x1x1,1.5,4.326541666666667,0.0,8.751833333333334,2.884361111111111,2.912,3.008,3.071,2
Elementwise and metadata,at::native::index_elementwise_kernel,4x1x1,128x1x1,1.0,4.253208333333333,4.165333333333334,4.389333333333334,4.253208333333333,4.224,4.416,4.544,0
MLA/DSA BF16 GEMMs,nvjet_sm90_tss_64x8_64x16_4x1_v_bz_TNT,4x24x1,384x1x1,1.25,4.189208333333333,0.0,10.106333333333334,3.3513666666666664,3.36,3.52,3.584,0
Elementwise and metadata,at::native::index_elementwise_kernel,303x1x1,128x1x1,1.0,4.119958333333333,4.042666666666666,4.208,4.119958333333334,4.16,4.256,4.32,14
Elementwise and metadata,triton_red_fused_fused_add_rms_norm_machete_mm_0,4x1x1,1024x1x1,1.5,4.069166666666667,0.0,8.202333333333334,2.7127777777777777,2.72,2.848,3.104,2
DCP/index metadata,_convert_req_index_to_global_index_kernel,1x16x1,128x1x1,2.0,3.9039166666666665,3.8183333333333334,3.968,1.9519583333333332,1.92,2.112,2.208,1
Explicit copies,Memcpy DtoH ,,,2.0,3.883916666666667,3.701,4.1386666666666665,1.9419583333333335,1.856,2.56,3.296,
Elementwise and metadata,at::native::,1x1x1,1x1x1,2.0,3.6919583333333335,3.594666666666667,3.7386666666666666,1.8459791666666667,1.824,1.984,2.112,0
Elementwise and metadata,triton_tem_fused_mm_t_6,128x1x1,64x1x1,0.5,3.6492916666666666,0.0,7.354666666666667,7.298583333333333,7.295,7.424,7.808,3
Attention/index support,vllm::indexer_k_quant_and_cache_kernel,1x1x1,32x4x1,2.0,3.622583333333333,3.4665,3.84,1.8112916666666667,1.824,1.92,2.144,0
Elementwise and metadata,_prepare_uniform_decode_kernel,4x1x1,128x1x1,2.0,3.5065,3.439666666666667,3.5945,1.75325,1.792,1.983,2.08,0
Elementwise and metadata,triton_red_fused_eq_rms_norm_scalar_tensor_unsqueeze_where_2,4x1x1,256x1x1,1.5,3.491916666666667,0.0,7.551833333333334,2.3279444444444444,2.304,2.592,2.72,0
Elementwise and metadata,at::native::elementwise_kernel,1210x1x1,128x1x1,1.0,3.3079166666666664,3.264,3.3706666666666667,3.307916666666667,3.296,3.424,3.52,57
Elementwise and metadata,at::native::_scatter_gather_elementwise_kernel,1x1x1,128x1x1,2.0,3.2039166666666667,3.1253333333333333,3.2744999999999997,1.6019583333333334,1.631,1.728,1.888,0
DCP LSE correction,_correct_attn_cp_out_kernel,1x64x1,128x1x1,2.0,3.0119583333333333,2.9171666666666667,3.1519999999999997,1.5059791666666666,1.504,1.568,1.6,3
Elementwise and metadata,triton_red_fused_fused_add_rms_norm_2,1x1x1,256x1x1,0.25,3.0079583333333333,0.0,12.031833333333333,12.031833333333333,12.032,12.288,12.288,0
Elementwise and metadata,at_cuda_detail::cub::detail::scan::DeviceScanKernel,1x1x1,128x1x1,2.0,2.9013333333333335,2.8266666666666667,2.986666666666667,1.4506666666666665,1.44,1.6,1.824,0
Elementwise and metadata,at::native::unrolled_elementwise_kernel,908x1x1,128x1x1,1.0,2.8840000000000003,2.8373333333333335,2.9120000000000004,2.884,2.88,2.944,2.976,43
Elementwise and metadata,triton_red_fused_fused_add_rms_norm_2,2x1x1,128x1x1,0.25,2.86125,0.0,11.445,11.445,11.52,11.551,11.551,0
Elementwise and metadata,triton_red_fused_7,2x1x1,128x1x1,0.75,2.8212083333333333,0.0,11.284833333333333,3.7616111111111112,3.808,4.064,4.192,0
Elementwise and metadata,eagle_step_slot_mapping_metadata_kernel,4x1x1,128x1x1,2.0,2.74525,2.6186666666666665,2.8373333333333335,1.372625,1.376,1.536,1.632,0
DCP/index metadata,_pack_dcp_topk_candidates_triton_kernel,1x4x1,256x1x1,2.0,2.628,2.6133333333333333,2.6506666666666665,1.314,1.312,1.344,1.44,0
Elementwise and metadata,triton_red_fused_7,2x1x1,256x1x1,0.75,2.5652916666666665,0.0,10.261166666666666,3.4203888888888887,3.392,3.776,3.808,0
Elementwise and metadata,_compute_slot_mapping_kernel,2x1x1,128x1x1,1.0,2.5479583333333333,2.4746666666666663,2.6186666666666665,2.5479583333333333,2.56,2.656,2.72,0
Elementwise and metadata,cublasLt::splitKreduce_kernel,192x1x1,32x16x1,1.5,2.5399583333333333,0.0,5.103833333333333,1.6933055555555554,1.696,1.727,1.76,36
Elementwise and metadata,triton_poi_fused_add_copy_index_select_mul_slice_split_stack_sub_unsqueeze_view_7,32x1x1,256x1x1,1.5,2.523875,0.0,5.717,1.6825833333333333,1.856,1.92,1.952,3
Elementwise and metadata,triton_red_fused_rms_norm_4,2x1x1,512x1x1,0.75,2.493208333333333,0.0,9.972833333333332,3.3242777777777777,3.36,3.519,3.552,0
Elementwise and metadata,compute_cuda_kernel,1x1x1,512x1x1,2.0,2.4692499999999997,2.4266666666666663,2.512,1.234625,1.248,1.248,1.408,0
Elementwise and metadata,triton_poi_fused_0,192x1x1,32x1x1,1.5,2.4692083333333334,0.0,4.943666666666666,1.6461388888888888,1.664,1.855,1.888,2
Elementwise and metadata,triton_red_fused_add_fused_add_rms_norm_rms_norm_2,4x1x1,512x1x1,0.75,2.468,0.0,9.872,3.2906666666666666,3.328,3.392,3.488,1
Elementwise and metadata,triton_red_fused_rms_norm_1,1x1x1,128x1x1,0.25,2.4572083333333334,0.0,9.828833333333334,9.828833333333334,9.856,10.143,10.143,0
Elementwise and metadata,triton_red_fused_eq_rms_norm_scalar_tensor_unsqueeze_where_2,2x1x1,512x1x1,0.75,2.3572083333333333,0.0,9.428833333333333,3.1429444444444443,3.104,3.455,3.456,0
